name	loc_col
Furraleigh	(0, 10, 'LOC')
Furnought	(0, 9, 'LOC')
Furness	(0, 7, 'LOC')
Furnace Lough	(0, 13, 'LOC')
Furmina	(0, 7, 'LOC')
River Funshion	(0, 14, 'LOC')
Lough Funshinagh	(0, 16, 'LOC')
Fuhiry	(0, 6, 'LOC')
Fuerty	(0, 6, 'LOC')
Frower Point	(0, 12, 'LOC')
Frosses	(0, 7, 'LOC')
Friarstown	(0, 10, 'LOC')
Friar Island	(0, 12, 'LOC')
Freshford	(0, 9, 'LOC')
Freneystown	(0, 11, 'LOC')
Frenchpark House	(0, 16, 'LOC')
Frenchpark	(0, 10, 'LOC')
Frenchfort	(0, 10, 'LOC')
Frehill Island	(0, 14, 'LOC')
Freemount	(0, 9, 'LOC')
Freaghillaun South	(0, 18, 'LOC')
Freaghillaun North	(0, 18, 'LOC')
Freagh Castle	(0, 13, 'LOC')
Frazers Hall	(0, 12, 'LOC')
Frankford House	(0, 15, 'LOC')
Frankford	(0, 9, 'LOC')
Franckfort Castle	(0, 17, 'LOC')
Foze Rocks	(0, 10, 'LOC')
Foynes Island	(0, 13, 'LOC')
Foynes	(0, 6, 'LOC')
Foyle House	(0, 11, 'LOC')
Lough Foyle	(0, 11, 'LOC')
Foygh	(0, 5, 'LOC')
Foxs Bridge Station	(0, 19, 'LOC')
Fox Island	(0, 10, 'LOC')
Foxhall	(0, 7, 'LOC')
Fox Hall	(0, 8, 'LOC')
Foxford	(0, 7, 'LOC')
Four Mile House	(0, 15, 'LOC')
Fourcuil	(0, 8, 'LOC')
Fountainstown House	(0, 19, 'LOC')
Foul Sound	(0, 10, 'LOC')
Foulksrath Castle	(0, 17, 'LOC')
Foulkscourt House	(0, 17, 'LOC')
Foulkesmill	(0, 11, 'LOC')
Fortwilliam House	(0, 17, 'LOC')
Fort William	(0, 12, 'LOC')
Fort Stewart	(0, 12, 'LOC')
Fort Singleton	(0, 14, 'LOC')
Fortland	(0, 8, 'LOC')
Forth Mountain	(0, 14, 'LOC')
Fort George	(0, 11, 'LOC')
Fort Frederick	(0, 14, 'LOC')
Fort Fergus	(0, 11, 'LOC')
Fort Etna	(0, 9, 'LOC')
Formoyle Lodge	(0, 14, 'LOC')
Lough Formoyle	(0, 14, 'LOC')
Formoyle	(0, 8, 'LOC')
Forgney House	(0, 13, 'LOC')
Forest House	(0, 12, 'LOC')
Fore	(0, 4, 'LOC')
Ford	(0, 4, 'LOC')
Lough Forbes	(0, 12, 'LOC')
Foohagh Point	(0, 13, 'LOC')
Fontstown	(0, 9, 'LOC')
Foileye	(0, 7, 'LOC')
Foilclogh	(0, 9, 'LOC')
Foilakill	(0, 9, 'LOC')
Foherish River	(0, 14, 'LOC')
Foghill	(0, 7, 'LOC')
Foaty Island	(0, 12, 'LOC')
Flowerhill House	(0, 16, 'LOC')
Flood Hall	(0, 10, 'LOC')
Float Station	(0, 13, 'LOC')
River Flesk	(0, 11, 'LOC')
Flat Head	(0, 9, 'LOC')
Flagmount	(0, 9, 'LOC')
Fivemilebridge	(0, 14, 'LOC')
Fivemilebourne	(0, 14, 'LOC')
Fivealley	(0, 9, 'LOC')
Fishmoyne House	(0, 15, 'LOC')
Fisherstreet	(0, 12, 'LOC')
Firmount	(0, 8, 'LOC')
Finuge	(0, 6, 'LOC')
Fintragh Bay	(0, 12, 'LOC')
Fintown	(0, 7, 'LOC')
Finny River	(0, 11, 'LOC')
Finny	(0, 5, 'LOC')
Finn River	(0, 10, 'LOC')
Finnow River	(0, 12, 'LOC')
Finnoe House	(0, 12, 'LOC')
Finnihy River	(0, 13, 'LOC')
Finnea	(0, 6, 'LOC')
Finnararagh	(0, 11, 'LOC')
River Finn	(0, 10, 'LOC')
Lough Finn	(0, 10, 'LOC')
Fin Lough	(0, 9, 'LOC')
Finisk River	(0, 12, 'LOC')
Finish Island	(0, 13, 'LOC')
Finglas	(0, 7, 'LOC')
Finavarra Point	(0, 15, 'LOC')
Finavarra	(0, 9, 'LOC')
Figile River	(0, 12, 'LOC')
Fieries	(0, 7, 'LOC')
Fiddown	(0, 7, 'LOC')
Fews	(0, 4, 'LOC')
Fethard	(0, 7, 'LOC')
River Ferta	(0, 11, 'LOC')
Ferrycarrig	(0, 11, 'LOC')
Ferry Bridge	(0, 12, 'LOC')
Ferrybank	(0, 9, 'LOC')
Ferriters Cove	(0, 14, 'LOC')
Ferns Lock Station	(0, 18, 'LOC')
Ferns	(0, 5, 'LOC')
Lough Fern	(0, 10, 'LOC')
Fermoy	(0, 6, 'LOC')
River Fergus	(0, 12, 'LOC')
Ferbane	(0, 7, 'LOC')
Feorish River	(0, 13, 'LOC')
Feohanagh River	(0, 15, 'LOC')
Feohanagh	(0, 9, 'LOC')
Fennor	(0, 6, 'LOC')
Fennagh	(0, 7, 'LOC')
Fenit Harbour	(0, 13, 'LOC')
Fenit	(0, 5, 'LOC')
Fenagh	(0, 6, 'LOC')
Feevagh	(0, 7, 'LOC')
Feenagh	(0, 7, 'LOC')
Lough Feeagh	(0, 12, 'LOC')
Lough Fee	(0, 9, 'LOC')
Fedamore	(0, 8, 'LOC')
Featherstone Lodge	(0, 18, 'LOC')
Fearagha	(0, 8, 'LOC')
River Feale	(0, 11, 'LOC')
Feakle	(0, 6, 'LOC')
Feagarrid	(0, 9, 'LOC')
Feacle House	(0, 12, 'LOC')
Lough Fea	(0, 9, 'LOC')
Fawnaboy Upper	(0, 14, 'LOC')
Fawnaboy Lower	(0, 14, 'LOC')
Faughalstown	(0, 12, 'LOC')
Fastnet Rock	(0, 12, 'LOC')
Farsid	(0, 6, 'LOC')
Farrihy Bay	(0, 11, 'LOC')
Farren Connell	(0, 14, 'LOC')
Farranville House	(0, 17, 'LOC')
Farrangalway	(0, 12, 'LOC')
Farranfore	(0, 10, 'LOC')
Farran	(0, 6, 'LOC')
Farnham House	(0, 13, 'LOC')
Farney Castle	(0, 13, 'LOC')
Farnanes Cross Roads	(0, 20, 'LOC')
Farnaght	(0, 8, 'LOC')
Farmoyle House	(0, 14, 'LOC')
Farmley House	(0, 13, 'LOC')
Farmhill House	(0, 14, 'LOC')
Farmhill	(0, 8, 'LOC')
Farahy	(0, 6, 'LOC')
Fanore	(0, 6, 'LOC')
Fanningstown House	(0, 18, 'LOC')
Fane River	(0, 10, 'LOC')
Fanad Head	(0, 10, 'LOC')
Fanad	(0, 5, 'LOC')
Faltia House	(0, 12, 'LOC')
Fallan River	(0, 12, 'LOC')
Faithlegg House	(0, 15, 'LOC')
Fairymount	(0, 10, 'LOC')
Fair Head	(0, 9, 'LOC')
Fairfield	(0, 9, 'LOC')
Fahy Lough	(0, 10, 'LOC')
Fahan	(0, 5, 'LOC')
Glanfahan	(0, 9, 'LOC')
Fahamore	(0, 8, 'LOC')
Faha	(0, 4, 'LOC')
Lough Fad	(0, 9, 'LOC')
Eyreville	(0, 9, 'LOC')
Eyrecourt	(0, 9, 'LOC')
Eyeries	(0, 7, 'LOC')
Essexford	(0, 9, 'LOC')
Eslin River	(0, 11, 'LOC')
Esker South	(0, 11, 'LOC')
Esker Bridge	(0, 12, 'LOC')
Eskerboy	(0, 8, 'LOC')
River Eske	(0, 10, 'LOC')
Eskaheen Mountain	(0, 17, 'LOC')
Errit Lough	(0, 11, 'LOC')
Errislannan Point	(0, 17, 'LOC')
Erris Head	(0, 10, 'LOC')
Mount Errisbeg	(0, 14, 'LOC')
Errill	(0, 6, 'LOC')
Errigal Mountain	(0, 16, 'LOC')
Erriff River	(0, 12, 'LOC')
Erra	(0, 4, 'LOC')
Erne Head	(0, 9, 'LOC')
Ennistimon	(0, 10, 'LOC')
Enniskerry	(0, 10, 'LOC')
Enniskean	(0, 9, 'LOC')
Enniscorthy	(0, 11, 'LOC')
Enniscoe House	(0, 14, 'LOC')
Ennis	(0, 5, 'LOC')
Lough Ennell	(0, 12, 'LOC')
Enfield	(0, 7, 'LOC')
Emyvale	(0, 7, 'LOC')
Emo	(0, 3, 'LOC')
Emmel Castle	(0, 12, 'LOC')
Emly	(0, 4, 'LOC')
Emlaghyroyin	(0, 12, 'LOC')
Emlagh Point	(0, 12, 'LOC')
Emlagh	(0, 6, 'LOC')
Emalough Station	(0, 16, 'LOC')
Ely House	(0, 9, 'LOC')
Slieve Elva	(0, 11, 'LOC')
Elton House	(0, 11, 'LOC')
Elton	(0, 5, 'LOC')
Elphin	(0, 6, 'LOC')
Elm Park House	(0, 14, 'LOC')
Elm Grove	(0, 9, 'LOC')
Elly Harbour	(0, 12, 'LOC')
Elly Bay	(0, 8, 'LOC')
Ellendale	(0, 9, 'LOC')
Ellagh	(0, 6, 'LOC')
Elfeet Bay	(0, 10, 'LOC')
Eighter	(0, 7, 'LOC')
Eglinton Canal	(0, 14, 'LOC')
Lough Egish	(0, 11, 'LOC')
Eeshal Island	(0, 13, 'LOC')
Edmondstown	(0, 11, 'LOC')
Edgeworthstown	(0, 14, 'LOC')
Edermine House	(0, 14, 'LOC')
Edenderry	(0, 9, 'LOC')
Edenburn House	(0, 14, 'LOC')
Edenacarnan	(0, 11, 'LOC')
Eddy Island	(0, 11, 'LOC')
Ebor Hall	(0, 9, 'LOC')
Eastwood House	(0, 14, 'LOC')
East Tawin	(0, 10, 'LOC')
East Sister	(0, 11, 'LOC')
Easky River	(0, 11, 'LOC')
Easky Lough	(0, 11, 'LOC')
Easky	(0, 5, 'LOC')
Lough Eske	(0, 10, 'LOC')
Eany Water	(0, 10, 'LOC')
Eany More Water	(0, 15, 'LOC')
Eany Beg Water	(0, 14, 'LOC')
Eagle Island	(0, 12, 'LOC')
Lough Ea	(0, 8, 'LOC')
Dysart	(0, 6, 'LOC')
Dysaghy Rocks	(0, 13, 'LOC')
Duvillaun More	(0, 14, 'LOC')
Duvillaun Beg	(0, 13, 'LOC')
Dursey Island	(0, 13, 'LOC')
Dursey Head	(0, 11, 'LOC')
Durrus Road Station	(0, 19, 'LOC')
Durrus Court	(0, 12, 'LOC')
Durrus	(0, 6, 'LOC')
Durrow Cross Roads	(0, 18, 'LOC')
Durrow Abbey	(0, 12, 'LOC')
Durrow	(0, 6, 'LOC')
Duveel Point	(0, 12, 'LOC')
Duntally River	(0, 14, 'LOC')
Dunsink	(0, 7, 'LOC')
Dunshaughlin	(0, 12, 'LOC')
Dunsany Castle	(0, 14, 'LOC')
Dunsandle Station	(0, 17, 'LOC')
Dunsandle	(0, 9, 'LOC')
Dunree Head	(0, 11, 'LOC')
Dunran Castle	(0, 13, 'LOC')
Dunragh Middle Lough	(0, 20, 'LOC')
Dunragh Loughs	(0, 14, 'LOC')
Dunragh Lough	(0, 13, 'LOC')
Dunragh Beg Lough	(0, 17, 'LOC')
Dunquin	(0, 7, 'LOC')
Dunowen Head	(0, 12, 'LOC')
Dunowen	(0, 7, 'LOC')
Dunnycove Bay	(0, 13, 'LOC')
Dunneill River	(0, 14, 'LOC')
Dunnamaggan	(0, 11, 'LOC')
Dunmore Park	(0, 12, 'LOC')
Dunmore Head	(0, 12, 'LOC')
Dunmore East	(0, 12, 'LOC')
Dunmore Cottage	(0, 15, 'LOC')
Dunmore	(0, 7, 'LOC')
Dunmanway	(0, 9, 'LOC')
Dunmanus Bay	(0, 12, 'LOC')
Dunmanus	(0, 8, 'LOC')
Dunlough Bay	(0, 12, 'LOC')
Dunloe Castle	(0, 13, 'LOC')
Gap of Dunloe	(0, 13, 'LOC')
Dunlewy Lough	(0, 13, 'LOC')
Dunlewy	(0, 7, 'LOC')
Dunleer	(0, 7, 'LOC')
Dunleckny Manor	(0, 15, 'LOC')
Dún Laoghaire	(0, 13, 'LOC')
Dunlavin	(0, 8, 'LOC')
Dunkitt	(0, 7, 'LOC')
Dunkineely	(0, 10, 'LOC')
Dunkettle Station	(0, 17, 'LOC')
Dunkerron Island West	(0, 21, 'LOC')
Dunkerron Islands	(0, 17, 'LOC')
Dunkerron Island East	(0, 21, 'LOC')
Dunkerron Harbour	(0, 17, 'LOC')
Dunkerron Castle	(0, 16, 'LOC')
Dunkerrin	(0, 9, 'LOC')
Dunkellin River	(0, 15, 'LOC')
Duniry River	(0, 12, 'LOC')
Duniry	(0, 6, 'LOC')
Dunhill Lodge	(0, 13, 'LOC')
Dunhill	(0, 7, 'LOC')
Dunheeda	(0, 8, 'LOC')
Dungourney	(0, 10, 'LOC')
Dungloe	(0, 7, 'LOC')
Dungeagan	(0, 9, 'LOC')
Dungarvan Harbour	(0, 17, 'LOC')
Dungarvan	(0, 9, 'LOC')
Dunganstown	(0, 11, 'LOC')
Dunfanaghy	(0, 10, 'LOC')
Dundrum House	(0, 13, 'LOC')
Dundrum	(0, 7, 'LOC')
Dundonnell	(0, 10, 'LOC')
Dunderry	(0, 8, 'LOC')
Dunderrow	(0, 9, 'LOC')
Dundareirke Castle	(0, 18, 'LOC')
Dundalk Harbour	(0, 15, 'LOC')
Dundalk Bay	(0, 11, 'LOC')
Dundalk	(0, 7, 'LOC')
Duncormick Station	(0, 18, 'LOC')
Duncormick	(0, 10, 'LOC')
Duncannon Fort	(0, 14, 'LOC')
Duncannon	(0, 9, 'LOC')
Dunbulcaun Bay	(0, 14, 'LOC')
Dunbrody Castle	(0, 15, 'LOC')
Dunboyne	(0, 8, 'LOC')
Dunboy Castle	(0, 13, 'LOC')
Dunboden Park	(0, 13, 'LOC')
Dunbeacon	(0, 9, 'LOC')
Dunany Point	(0, 12, 'LOC')
Dunany House	(0, 12, 'LOC')
Dunamon Station	(0, 15, 'LOC')
Dunamon Castle	(0, 14, 'LOC')
Dunaff Head	(0, 11, 'LOC')
Dunaff	(0, 6, 'LOC')
Dunabrattin Head	(0, 16, 'LOC')
Duleek	(0, 6, 'LOC')
Duffur Rocks	(0, 12, 'LOC')
Duffry Hall	(0, 11, 'LOC')
Duff River	(0, 10, 'LOC')
Duff Hill	(0, 9, 'LOC')
Duffcarrick Rocks	(0, 17, 'LOC')
Duck Island	(0, 11, 'LOC')
Ducketts Grove	(0, 14, 'LOC')
Ducalla Head	(0, 12, 'LOC')
Ducalla	(0, 7, 'LOC')
Dublin Harbour	(0, 14, 'LOC')
Dublin Castle	(0, 13, 'LOC')
Dublin Bay	(0, 10, 'LOC')
Dublin Bar	(0, 10, 'LOC')
Baile Átha Cliath	(0, 17, 'LOC')
Dublin	(0, 6, 'LOC')
Duarrigle Castle	(0, 16, 'LOC')
Duagh	(0, 5, 'LOC')
River Duag	(0, 10, 'LOC')
Dry Mills	(0, 9, 'LOC')
Drung Hill	(0, 10, 'LOC')
Drunganagh	(0, 10, 'LOC')
Drumsna Station	(0, 15, 'LOC')
Drumsna	(0, 7, 'LOC')
Drumsillagh House	(0, 17, 'LOC')
Drumshanbo	(0, 10, 'LOC')
Drumscor	(0, 8, 'LOC')
Drumroragh Lodge	(0, 16, 'LOC')
Drumree Station	(0, 15, 'LOC')
Drumone	(0, 7, 'LOC')
Dromod	(0, 6, 'LOC')
Drumnee Upper	(0, 13, 'LOC')
Drumnee Lower	(0, 13, 'LOC')
Drumnafinnila	(0, 13, 'LOC')
Drummin House	(0, 13, 'LOC')
Drummenny River	(0, 15, 'LOC')
Drumman	(0, 7, 'LOC')
Drumlish	(0, 8, 'LOC')
Drumlave	(0, 8, 'LOC')
Drumkeeran	(0, 10, 'LOC')
Druming	(0, 7, 'LOC')
Drum Hills	(0, 10, 'LOC')
Drumhillagh	(0, 11, 'LOC')
Drumhawnagh Station	(0, 19, 'LOC')
Lough Drumharlow	(0, 16, 'LOC')
Drumhallagh Lower	(0, 17, 'LOC')
Drumgriffin	(0, 11, 'LOC')
Drumfree	(0, 8, 'LOC')
Drumfin	(0, 7, 'LOC')
Drumellihy	(0, 10, 'LOC')
Drumdoe	(0, 7, 'LOC')
Drumderg	(0, 8, 'LOC')
Drumcullaun Lough	(0, 17, 'LOC')
Drumcree	(0, 8, 'LOC')
Drumcondra	(0, 10, 'LOC')
Drumcollop	(0, 10, 'LOC')
Drumcoggy	(0, 9, 'LOC')
Drumcliff Bay	(0, 13, 'LOC')
Drumcliff	(0, 9, 'LOC')
Drumcarban	(0, 10, 'LOC')
Drumcar	(0, 7, 'LOC')
Drumbologe	(0, 10, 'LOC')
Drumboe Castle	(0, 14, 'LOC')
Drumboe	(0, 7, 'LOC')
Drumbilla	(0, 9, 'LOC')
Drumbane	(0, 8, 'LOC')
Drumate Lodge	(0, 13, 'LOC')
Drumard House	(0, 13, 'LOC')
Drumanoo Head	(0, 13, 'LOC')
Drumandoora	(0, 11, 'LOC')
Drumalure	(0, 9, 'LOC')
Dromahair	(0, 9, 'LOC')
Drumady Lough	(0, 13, 'LOC')
Drum	(0, 4, 'LOC')
Drowes River	(0, 12, 'LOC')
Dromoland Castle	(0, 16, 'LOC')
Dromoghty Lough	(0, 15, 'LOC')
Drommartin	(0, 10, 'LOC')
Dromleigh	(0, 9, 'LOC')
Dromkeen Station	(0, 16, 'LOC')
Dromkeen House	(0, 14, 'LOC')
Dromiskin	(0, 9, 'LOC')
Dromin Junction Station	(0, 23, 'LOC')
Dromineer Castle	(0, 16, 'LOC')
Dromineer	(0, 9, 'LOC')
Drominagh House	(0, 15, 'LOC')
Dromina	(0, 7, 'LOC')
Dromin	(0, 6, 'LOC')
Dromcolliher	(0, 12, 'LOC')
Drombrow House	(0, 14, 'LOC')
Dromard House	(0, 13, 'LOC')
Dromard	(0, 7, 'LOC')
Dromaneen House	(0, 15, 'LOC')
Dromana House	(0, 13, 'LOC')
Dromana Forest	(0, 14, 'LOC')
Dromagh Castle	(0, 14, 'LOC')
Dromagh	(0, 7, 'LOC')
Drom	(0, 4, 'LOC')
Drogheda	(0, 8, 'LOC')
Drish River	(0, 11, 'LOC')
Drishane Castle	(0, 15, 'LOC')
Drishanebeg	(0, 11, 'LOC')
Drishaghaun	(0, 11, 'LOC')
Dripsey	(0, 7, 'LOC')
Drinagh	(0, 7, 'LOC')
Lough Drin	(0, 10, 'LOC')
Drin	(0, 4, 'LOC')
Drimoleague	(0, 11, 'LOC')
Drimmeen	(0, 8, 'LOC')
Drewstown Great	(0, 15, 'LOC')
Dreenagh	(0, 8, 'LOC')
Drangan	(0, 7, 'LOC')
Dowth Hall	(0, 10, 'LOC')
Dowra	(0, 5, 'LOC')
The Downs	(0, 9, 'LOC')
Downpatrick Head	(0, 16, 'LOC')
Downings Bay	(0, 12, 'LOC')
Castle Downeen	(0, 14, 'LOC')
Dowdstown	(0, 9, 'LOC')
Dovea	(0, 5, 'LOC')
Doulus Head	(0, 11, 'LOC')
Douglas River	(0, 13, 'LOC')
River Douglas	(0, 13, 'LOC')
Douglas	(0, 7, 'LOC')
Doughruagh	(0, 10, 'LOC')
Dough Castle	(0, 12, 'LOC')
Djouce Mountain	(0, 15, 'LOC')
Dorrington House	(0, 16, 'LOC')
Doory Hall	(0, 10, 'LOC')
Doorus Strait	(0, 13, 'LOC')
Doorus Point	(0, 12, 'LOC')
Dooros Point	(0, 12, 'LOC')
Dooroge	(0, 7, 'LOC')
Doornane	(0, 8, 'LOC')
Doorin Point	(0, 12, 'LOC')
Doonvinalla	(0, 11, 'LOC')
Doon Lough	(0, 10, 'LOC')
Dooniskey Station	(0, 17, 'LOC')
Doonguddle	(0, 10, 'LOC')
Doonecoy	(0, 8, 'LOC')
Doonbristy	(0, 10, 'LOC')
Doonbeg Station	(0, 15, 'LOC')
Doonbeg River	(0, 13, 'LOC')
Doonbeg	(0, 7, 'LOC')
Doonass House	(0, 13, 'LOC')
Doonane	(0, 7, 'LOC')
Doonamo Point	(0, 13, 'LOC')
Doonaha	(0, 7, 'LOC')
The Doon	(0, 8, 'LOC')
Doon	(0, 4, 'LOC')
Doolystown	(0, 10, 'LOC')
Doolough Lodge	(0, 14, 'LOC')
Doo Lough	(0, 9, 'LOC')
Doolin Point	(0, 12, 'LOC')
Doolin	(0, 6, 'LOC')
Doolic Rock	(0, 11, 'LOC')
Dooleeg More	(0, 12, 'LOC')
Dooish	(0, 6, 'LOC')
Doohooma	(0, 8, 'LOC')
Doohamlat	(0, 9, 'LOC')
Doogort	(0, 7, 'LOC')
Dooglasha River	(0, 15, 'LOC')
Dooey	(0, 5, 'LOC')
Dooega Head	(0, 11, 'LOC')
Dooega	(0, 6, 'LOC')
Doochary	(0, 8, 'LOC')
Doocastle	(0, 9, 'LOC')
Doobeg Point	(0, 12, 'LOC')
Dooagh	(0, 6, 'LOC')
Donoughmore	(0, 11, 'LOC')
Donore	(0, 6, 'LOC')
Donore House	(0, 12, 'LOC')
Donohill	(0, 8, 'LOC')
Donnybrook	(0, 10, 'LOC')
Doneraile	(0, 9, 'LOC')
Donegal Point	(0, 13, 'LOC')
Donegal House	(0, 13, 'LOC')
Donegal Bay	(0, 11, 'LOC')
County Donegal	(0, 14, 'LOC')
Donegal	(0, 7, 'LOC')
Doneen Point	(0, 12, 'LOC')
Donaskeagh	(0, 10, 'LOC')
Donard	(0, 6, 'LOC')
Donagh River	(0, 12, 'LOC')
Donaghmoyne	(0, 11, 'LOC')
Donaghmore House	(0, 16, 'LOC')
Donaghmore Bridge	(0, 17, 'LOC')
Donaghmore	(0, 10, 'LOC')
Donagh	(0, 6, 'LOC')
Donadea	(0, 7, 'LOC')
Donacarney	(0, 10, 'LOC')
Donabate	(0, 8, 'LOC')
Dollys Grove	(0, 12, 'LOC')
Dollymount	(0, 10, 'LOC')
Dogs Bay	(0, 8, 'LOC')
Doe Castle	(0, 10, 'LOC')
River Dodder	(0, 12, 'LOC')
Doagh Isle	(0, 10, 'LOC')
Doagh Beg	(0, 9, 'LOC')
Doagh	(0, 5, 'LOC')
D’Loughtane House	(0, 17, 'LOC')
Dirty River	(0, 11, 'LOC')
Dirk Bay	(0, 8, 'LOC')
Dinin River	(0, 11, 'LOC')
Dingle Peninsula	(0, 16, 'LOC')
Dingle Harbour	(0, 14, 'LOC')
Dingle Bay	(0, 10, 'LOC')
Dingle	(0, 6, 'LOC')
Diamond Hill	(0, 12, 'LOC')
Diamond	(0, 7, 'LOC')
Devonroad Station	(0, 17, 'LOC')
Devlin River	(0, 12, 'LOC')
Devils Punch Bowl	(0, 17, 'LOC')
Devilsmother	(0, 12, 'LOC')
The Devils Glen	(0, 15, 'LOC')
Devilsbit Mountain	(0, 18, 'LOC')
Desert Station	(0, 14, 'LOC')
Desart Court	(0, 12, 'LOC')
Derry Water	(0, 11, 'LOC')
Derryveagh Mountains	(0, 20, 'LOC')
Derryrush	(0, 9, 'LOC')
Derry River	(0, 11, 'LOC')
Derryquin Castle	(0, 16, 'LOC')
Derrynasaggart Mountains	(0, 24, 'LOC')
Derrynacaheragh	(0, 15, 'LOC')
Derrymullan	(0, 11, 'LOC')
Derrymore Island	(0, 16, 'LOC')
Derrymore	(0, 9, 'LOC')
Derryluskan House	(0, 17, 'LOC')
Derry Lough	(0, 11, 'LOC')
Derrylehan	(0, 10, 'LOC')
Derry House	(0, 11, 'LOC')
Derryhippoo River	(0, 17, 'LOC')
Derryfrench	(0, 11, 'LOC')
Derrycoffey	(0, 11, 'LOC')
Derryclure	(0, 10, 'LOC')
Derryclare Lough	(0, 16, 'LOC')
Derryclare	(0, 10, 'LOC')
Derry Castle	(0, 12, 'LOC')
Derrycassan House	(0, 17, 'LOC')
Derrycarne	(0, 10, 'LOC')
Derrybrien	(0, 10, 'LOC')
Derrybeg	(0, 8, 'LOC')
Derrybawn House	(0, 15, 'LOC')
Derryad	(0, 7, 'LOC')
Derry	(0, 5, 'LOC')
Derrinvoney	(0, 11, 'LOC')
Derrinturn	(0, 10, 'LOC')
Derrinkee	(0, 9, 'LOC')
The Derries	(0, 11, 'LOC')
Derriana Lough	(0, 14, 'LOC')
Derrew	(0, 6, 'LOC')
Derreen River	(0, 13, 'LOC')
Derreen House	(0, 13, 'LOC')
Derreenavoggy	(0, 13, 'LOC')
Derreen	(0, 7, 'LOC')
Lough Derravaragh	(0, 17, 'LOC')
Dernish Island	(0, 14, 'LOC')
Dernahelty More	(0, 15, 'LOC')
Dernahelty Beg	(0, 14, 'LOC')
Dernagree	(0, 9, 'LOC')
Derkmore Point	(0, 14, 'LOC')
Derk	(0, 4, 'LOC')
Dergbridge Halt	(0, 15, 'LOC')
Lough Derg	(0, 10, 'LOC')
Deputys Pass	(0, 12, 'LOC')
Delvin River	(0, 12, 'LOC')
Delvin	(0, 6, 'LOC')
Delphi	(0, 6, 'LOC')
Delgany	(0, 7, 'LOC')
Deer Island	(0, 11, 'LOC')
Deenish Island	(0, 14, 'LOC')
Deenagh River	(0, 13, 'LOC')
Deel River	(0, 10, 'LOC')
River Deel	(0, 10, 'LOC')
Deelis	(0, 6, 'LOC')
Deele River	(0, 11, 'LOC')
Lough Deele	(0, 11, 'LOC')
River Dee	(0, 9, 'LOC')
Debsborough House	(0, 17, 'LOC')
Dealagh River	(0, 13, 'LOC')
Dead River	(0, 10, 'LOC')
Dawros River	(0, 12, 'LOC')
Dawros	(0, 6, 'LOC')
Dawros Head	(0, 11, 'LOC')
Dawros Bridge	(0, 13, 'LOC')
Dawros Beg	(0, 10, 'LOC')
Dawros Bay	(0, 10, 'LOC')
Davis’s Castle	(0, 14, 'LOC')
Davillaun	(0, 9, 'LOC')
Davidstown House	(0, 16, 'LOC')
Darver Castle	(0, 13, 'LOC')
Dartry Mountains	(0, 16, 'LOC')
Dartrey House	(0, 13, 'LOC')
Dartfield	(0, 9, 'LOC')
Slieve Dart	(0, 11, 'LOC')
Darrynane Harbour	(0, 17, 'LOC')
Darrynane Bay	(0, 13, 'LOC')
Darrynane Abbey	(0, 15, 'LOC')
Darragh House	(0, 13, 'LOC')
Dargle River	(0, 12, 'LOC')
Dardistown	(0, 10, 'LOC')
Dangan House	(0, 12, 'LOC')
Dangan	(0, 6, 'LOC')
Danesfort House	(0, 15, 'LOC')
Lough Dan	(0, 9, 'LOC')
Damph	(0, 5, 'LOC')
Dalystown House	(0, 15, 'LOC')
Dalystown	(0, 9, 'LOC')
River Dalua	(0, 11, 'LOC')
Dalligan River	(0, 14, 'LOC')
Dalkey	(0, 6, 'LOC')
Dalgin	(0, 6, 'LOC')
Dalgan River	(0, 12, 'LOC')
Dalganpark	(0, 10, 'LOC')
Lough Dahybaun	(0, 14, 'LOC')
Slieve Daeane	(0, 13, 'LOC')
Lough Cutra	(0, 11, 'LOC')
Cushina River	(0, 13, 'LOC')
Cushina	(0, 7, 'LOC')
Currygrane House	(0, 16, 'LOC')
Curryglass House	(0, 16, 'LOC')
Curryglass	(0, 10, 'LOC')
Curry	(0, 5, 'LOC')
Curreeny	(0, 8, 'LOC')
Curranes	(0, 8, 'LOC')
Lough Currane	(0, 13, 'LOC')
Curramore House	(0, 15, 'LOC')
Curramore	(0, 9, 'LOC')
Curraheen	(0, 9, 'LOC')
Currah Chase House	(0, 18, 'LOC')
Curraglass	(0, 10, 'LOC')
Curragh West	(0, 12, 'LOC')
Curraghmore House	(0, 17, 'LOC')
Curraghgorm	(0, 11, 'LOC')
Curraghalicky Lake	(0, 18, 'LOC')
Curraghaleen	(0, 12, 'LOC')
Curragha	(0, 8, 'LOC')
The Curragh	(0, 11, 'LOC')
Curragh	(0, 7, 'LOC')
Curracloe House	(0, 15, 'LOC')
Curlew Mountains	(0, 16, 'LOC')
Cur	(0, 3, 'LOC')
Cummirk River	(0, 13, 'LOC')
Cummeragh River	(0, 15, 'LOC')
Cummeen Strand	(0, 14, 'LOC')
Cummeenduff Glen	(0, 16, 'LOC')
Cummeen	(0, 7, 'LOC')
Culray	(0, 6, 'LOC')
Culmullin Cross Roads	(0, 21, 'LOC')
Cullumore	(0, 9, 'LOC')
Lough Cullin	(0, 12, 'LOC')
Cullies House	(0, 13, 'LOC')
Cullentra	(0, 9, 'LOC')
Cullen Castle	(0, 13, 'LOC')
Cullenagh River	(0, 15, 'LOC')
