street_name	loc_col
BRUNSWICK VILLAS	(0, 16, 'LOC')
BUCKINGHAM STREET LOWER	(0, 23, 'LOC')
BUCKINGHAM STREET UPPER	(0, 23, 'LOC')
BUCKINGHAM STREET UPPER	(0, 23, 'LOC')
BULFIN GARDENS	(0, 14, 'LOC')
BULFIN ROAD	(0, 11, 'LOC')
BULFIN ROAD	(0, 11, 'LOC')
BULL ALLEY STREET	(0, 17, 'LOC')
BUNRATTY AVENUE	(0, 15, 'LOC')
BUNRATTY DRIVE	(0, 14, 'LOC')
BUNRATTY ROAD	(0, 13, 'LOC')
BUNRATTY ROAD	(0, 13, 'LOC')
BUNTING ROAD	(0, 12, 'LOC')
BURGESS LANE	(0, 12, 'LOC')
BURGH QUAY	(0, 10, 'LOC')
BURKE PLACE	(0, 11, 'LOC')
BURLEIGH COURT	(0, 14, 'LOC')
BURLINGTON GARDENS	(0, 18, 'LOC')
BURLINGTON ROAD	(0, 15, 'LOC')
BUSHES LANE	(0, 11, 'LOC')
BUSHFIELD AVENUE	(0, 16, 'LOC')
BUSHFIELD PLACE	(0, 15, 'LOC')
BUSHFIELD SQUARE	(0, 16, 'LOC')
BUSHFIELD TERRACE	(0, 17, 'LOC')
BUSHY PARK GARDENS	(0, 18, 'LOC')
BUSHY PARK ROAD	(0, 15, 'LOC')
BUSHY PARK ROAD	(0, 15, 'LOC')
BUTT BRIDGE	(0, 11, 'LOC')
BYRNE'S LANE	(0, 12, 'LOC')
BYRNES LANE WEST	(0, 16, 'LOC')
CABRA DRIVE	(0, 11, 'LOC')
CABRA GROVE	(0, 11, 'LOC')
CABRA PARK	(0, 10, 'LOC')
CABRA ROAD	(0, 10, 'LOC')
CABRA ROAD	(0, 10, 'LOC')
CADOGAN ROAD	(0, 12, 'LOC')
CALDERWOOD AVENUE	(0, 17, 'LOC')
CALDERWOOD GROVE	(0, 16, 'LOC')
CALDERWOOD ROAD	(0, 15, 'LOC')
CALEDON ROAD	(0, 12, 'LOC')
CAMAC CLOSE	(0, 11, 'LOC')
CAMAC COURT	(0, 11, 'LOC')
CAMAC PARK	(0, 10, 'LOC')
CAMBRIDGE AVENUE	(0, 16, 'LOC')
CAMBRIDGE PARK	(0, 14, 'LOC')
CAMBRIDGE ROAD	(0, 14, 'LOC')
CAMBRIDGE ROAD	(0, 14, 'LOC')
CAMBRIDGE STREET	(0, 16, 'LOC')
CAMBRIDGE TERRACE	(0, 17, 'LOC')
CAMBRIDGE VILLAS	(0, 16, 'LOC')
CAMDEN BUILDINGS	(0, 16, 'LOC')
CAMDEN COURT	(0, 12, 'LOC')
CAMDEN LOCK	(0, 11, 'LOC')
CAMDEN PLACE	(0, 12, 'LOC')
CAMDEN ROW	(0, 10, 'LOC')
CAMDEN STREET LOWER	(0, 19, 'LOC')
CAMDEN STREET UPPER	(0, 19, 'LOC')
CAMDEN VILLAS	(0, 13, 'LOC')
CAMERON SQUARE	(0, 14, 'LOC')
CAMERON STREET	(0, 14, 'LOC')
CAMPBELL'S COURT	(0, 16, 'LOC')
CAMPBELL'S PLACE	(0, 16, 'LOC')
CAMPBELLS ROW	(0, 13, 'LOC')
CANAL ROAD	(0, 10, 'LOC')
CANAL TERRACE	(0, 13, 'LOC')
CANON LILLIS AVENUE	(0, 19, 'LOC')
CAPEL STREET	(0, 12, 'LOC')
CAPEL STREET	(0, 12, 'LOC')
CAPPAGH AVENUE	(0, 14, 'LOC')
CAPPAGH DRIVE	(0, 13, 'LOC')
CAPPAGH ROAD	(0, 12, 'LOC')
CAPPAGH ROAD	(0, 12, 'LOC')
CAPPAGH ROAD	(0, 12, 'LOC')
CAPTAINS AVENUE	(0, 15, 'LOC')
CAPTAINS DRIVE	(0, 14, 'LOC')
CAPTAINS ROAD	(0, 13, 'LOC')
CAPTAINS ROAD	(0, 13, 'LOC')
CARAGH ROAD	(0, 11, 'LOC')
CARBERRY ROAD	(0, 13, 'LOC')
CARDIFF CASTLE ROAD	(0, 19, 'LOC')
CARDIFF LANE	(0, 12, 'LOC')
CARDIFFSBRIDGE AVENUE	(0, 21, 'LOC')
CARDIFFSBRIDGE GROVE	(0, 20, 'LOC')
CARDIFFSBRIDGE ROAD	(0, 19, 'LOC')
CARDS LANE	(0, 10, 'LOC')
CARLETON ROAD	(0, 13, 'LOC')
CARLINGFORD PARADE	(0, 18, 'LOC')
CARLINGFORD ROAD	(0, 16, 'LOC')
CARLISLE AVENUE	(0, 15, 'LOC')
CARLISLE COURT	(0, 14, 'LOC')
CARLISLE STREET	(0, 15, 'LOC')
CARMAN'S HALL	(0, 13, 'LOC')
CARNA ROAD	(0, 10, 'LOC')
CARNDONAGH DRIVE	(0, 16, 'LOC')
CARNDONAGH LAWN	(0, 15, 'LOC')
CARNDONAGH PARK	(0, 15, 'LOC')
CARNDONAGH ROAD	(0, 15, 'LOC')
CARNDONAGH ROAD	(0, 15, 'LOC')
CARNEW STREET	(0, 13, 'LOC')
CARNLOUGH ROAD	(0, 14, 'LOC')
CARNLOUGH ROAD	(0, 14, 'LOC')
CAROLINE ROW	(0, 12, 'LOC')
CARRAROE AVENUE	(0, 15, 'LOC')
CARRICK TERRACE	(0, 15, 'LOC')
CARRICKFOYLE TERRACE	(0, 20, 'LOC')
CARRIG ROAD	(0, 11, 'LOC')
CARRIGALLEN DRIVE	(0, 17, 'LOC')
CARRIGALLEN PARK	(0, 16, 'LOC')
CARRIGALLEN ROAD	(0, 16, 'LOC')
CARROLLS COURT	(0, 14, 'LOC')
CARROW ROAD	(0, 11, 'LOC')
CASEMENT CLOSE	(0, 14, 'LOC')
CASEMENT DRIVE	(0, 14, 'LOC')
CASEMENT GREEN	(0, 14, 'LOC')
CASEMENT GROVE	(0, 14, 'LOC')
CASEMENT PARK	(0, 13, 'LOC')
CASEMENT ROAD LOWER	(0, 19, 'LOC')
CASEMENT ROAD	(0, 13, 'LOC')
CASEMENT ROAD	(0, 13, 'LOC')
CASHEL AVENUE	(0, 13, 'LOC')
CASHEL ROAD	(0, 11, 'LOC')
CASHEL ROAD	(0, 11, 'LOC')
CASHEL ROAD	(0, 11, 'LOC')
CASIMIR AVENUE	(0, 14, 'LOC')
CASIMIR COURT	(0, 13, 'LOC')
CASIMIR ROAD	(0, 12, 'LOC')
CASINO PARK	(0, 11, 'LOC')
CASINO ROAD	(0, 11, 'LOC')
CASTILLA PARK	(0, 13, 'LOC')
CASTLE AVENUE	(0, 13, 'LOC')
CASTLE COURT	(0, 12, 'LOC')
CASTLE GROVE	(0, 12, 'LOC')
CASTLE GROVE	(0, 12, 'LOC')
CASTLE MARKET	(0, 13, 'LOC')
CASTLE ROAD	(0, 11, 'LOC')
CASTLE STREET	(0, 13, 'LOC')
CASTLE TERRACE	(0, 14, 'LOC')
CASTLEFORBES ROAD	(0, 17, 'LOC')
CASTLEKEVIN ROAD	(0, 16, 'LOC')
CASTLETIMON AVENUE	(0, 18, 'LOC')
CASTLETIMON DRIVE	(0, 17, 'LOC')
CASTLETIMON GARDENS	(0, 19, 'LOC')
CASTLETIMON GREEN	(0, 17, 'LOC')
CASTLETIMON PARK	(0, 16, 'LOC')
CASTLETIMON ROAD	(0, 16, 'LOC')
CASTLETIMON ROAD	(0, 16, 'LOC')
CASTLETIMON ROAD	(0, 16, 'LOC')
CASTLEVIEW	(0, 10, 'LOC')
CASTLEWOOD AVENUE	(0, 17, 'LOC')
CASTLEWOOD PARK	(0, 15, 'LOC')
CASTLEWOOD PLACE	(0, 16, 'LOC')
CASTLEWOOD TERRACE	(0, 18, 'LOC')
CATHAL BRUGHA STREET	(0, 20, 'LOC')
CATHEDRAL LANE	(0, 14, 'LOC')
CATHEDRAL STREET	(0, 16, 'LOC')
CATHEDRAL VIEW COURT	(0, 20, 'LOC')
CATHEDRAL VIEW WALK	(0, 19, 'LOC')
CATHERINE COURT	(0, 15, 'LOC')
CATHERINE LANE EAST	(0, 19, 'LOC')
CATHERINE LANE NORTH	(0, 20, 'LOC')
CATHERINE LANE NORTH	(0, 20, 'LOC')
CATHERINE STREET	(0, 16, 'LOC')
CAUSEWAY ROAD	(0, 13, 'LOC')
CAVENDISH ROW	(0, 13, 'LOC')
CEANNT FORT	(0, 11, 'LOC')
CECIL AVENUE	(0, 12, 'LOC')
CECILIA STREET	(0, 14, 'LOC')
CEDAR COURT	(0, 11, 'LOC')
CEDAR PARK	(0, 10, 'LOC')
CEDAR WALK	(0, 10, 'LOC')
CEDARWOOD AVENUE	(0, 16, 'LOC')
CEDARWOOD CLOSE	(0, 15, 'LOC')
CEDARWOOD GREEN	(0, 15, 'LOC')
CEDARWOOD GROVE	(0, 15, 'LOC')
CEDARWOOD PARK	(0, 14, 'LOC')
CEDARWOOD RISE	(0, 14, 'LOC')
CEDARWOOD ROAD	(0, 14, 'LOC')
CEDARWOOD ROAD	(0, 14, 'LOC')
CELESTINE AVENUE	(0, 16, 'LOC')
CELTIC PARK AVENUE	(0, 18, 'LOC')
CELTIC PARK ROAD	(0, 16, 'LOC')
CHAMBER STREET	(0, 14, 'LOC')
CHAMPIONS AVENUE	(0, 16, 'LOC')
CHANCERY LANE	(0, 13, 'LOC')
CHANCERY LANE	(0, 13, 'LOC')
CHANCERY PLACE	(0, 14, 'LOC')
CHANCERY STREET	(0, 15, 'LOC')
CHANEL AVENUE	(0, 13, 'LOC')
CHANEL GROVE	(0, 12, 'LOC')
CHANEL ROAD	(0, 11, 'LOC')
CHAPEL AVENUE	(0, 13, 'LOC')
CHAPEL LANE	(0, 11, 'LOC')
CHAPELIZOD BY PASS	(0, 18, 'LOC')
CHAPELIZOD COURT	(0, 16, 'LOC')
CHAPELIZOD HILL ROAD	(0, 20, 'LOC')
CHAPELIZOD ROAD	(0, 15, 'LOC')
CHAPELIZOD ROAD	(0, 15, 'LOC')
CHARLEMONT	(0, 10, 'LOC')
CHARLEMONT BRIDGE	(0, 17, 'LOC')
CHARLEMONT MALL	(0, 15, 'LOC')
CHARLEMONT PARADE	(0, 17, 'LOC')
CHARLEMONT PLACE	(0, 16, 'LOC')
CHARLEMONT PLACE	(0, 16, 'LOC')
CHARLEMONT ROAD	(0, 15, 'LOC')
CHARLEMONT STREET	(0, 17, 'LOC')
CHARLES LANE	(0, 12, 'LOC')
CHARLES STREET GREAT	(0, 20, 'LOC')
CHARLES STREET WEST	(0, 19, 'LOC')
CHARLESTON AVENUE	(0, 17, 'LOC')
CHARLESTON ROAD	(0, 15, 'LOC')
CHARLEVILLE AVENUE	(0, 18, 'LOC')
CHARLEVILLE CLOSE	(0, 17, 'LOC')
CHARLEVILLE MALL	(0, 16, 'LOC')
CHARLEVILLE ROAD	(0, 16, 'LOC')
CHARLEVILLE ROAD	(0, 16, 'LOC')
CHARLEVILLE ROAD	(0, 16, 'LOC')
CHARLOTTE WAY	(0, 13, 'LOC')
CHATHAM ROW	(0, 11, 'LOC')
CHATHAM STREET	(0, 14, 'LOC')
CHELMSFORD AVENUE	(0, 17, 'LOC')
CHELMSFORD CLOSE	(0, 16, 'LOC')
CHELMSFORD LANE	(0, 15, 'LOC')
CHELMSFORD ROAD	(0, 15, 'LOC')
CHELSEA GARDENS	(0, 15, 'LOC')
CHELTENHAM PLACE	(0, 16, 'LOC')
CHERRY ORCHARD AVENUE	(0, 21, 'LOC')
CHERRY ORCHARD CRESCENT	(0, 23, 'LOC')
CHERRY ORCHARD DRIVE	(0, 20, 'LOC')
CHERRY ORCHARD GREEN	(0, 20, 'LOC')
CHERRY ORCHARD GROVE	(0, 20, 'LOC')
CHERRYFIELD AVENUE LOWER	(0, 24, 'LOC')
CHERRYFIELD AVENUE UPPER	(0, 24, 'LOC')
CHERRYMOUNT CRESCENT	(0, 20, 'LOC')
CHERRYMOUNT GROVE	(0, 17, 'LOC')
CHERRYMOUNT PARK	(0, 16, 'LOC')
CHESTER ROAD	(0, 12, 'LOC')
CHRISTCHURCH PLACE	(0, 18, 'LOC')
CHURCH GARDENS	(0, 14, 'LOC')
CHURCH AVENUE WEST	(0, 18, 'LOC')
CHURCH AVENUE	(0, 13, 'LOC')
CHURCH AVENUE	(0, 13, 'LOC')
CHURCH AVENUE	(0, 13, 'LOC')
CHURCH AVENUE	(0, 13, 'LOC')
CHURCH AVENUE	(0, 13, 'LOC')
CHURCH AVENUE SOUTH	(0, 19, 'LOC')
CHURCH GARDENS	(0, 14, 'LOC')
CHURCH LANE	(0, 11, 'LOC')
CHURCH LANE	(0, 11, 'LOC')
CHURCH LANE SOUTH	(0, 17, 'LOC')
CHURCH PARK AVENUE	(0, 18, 'LOC')
CHURCH PARK COURT	(0, 17, 'LOC')
CHURCH PARK DRIVE	(0, 17, 'LOC')
CHURCH PARK LAWN	(0, 16, 'LOC')
CHURCH PARK WAY	(0, 15, 'LOC')
CHURCH PLACE	(0, 12, 'LOC')
CHURCH ROAD	(0, 11, 'LOC')
CHURCH ROAD	(0, 11, 'LOC')
CHURCH ROAD	(0, 11, 'LOC')
CHURCH ROW	(0, 10, 'LOC')
CHURCH STREET	(0, 13, 'LOC')
CHURCH STREET	(0, 13, 'LOC')
CHURCH STREET EAST	(0, 18, 'LOC')
CHURCH STREET NEW	(0, 17, 'LOC')
CHURCH STREET	(0, 13, 'LOC')
CHURCH STREET UPPER	(0, 19, 'LOC')
CHURCH TERRACE	(0, 14, 'LOC')
CHURCH TERRACE	(0, 14, 'LOC')
CHURCH TERRACE	(0, 14, 'LOC')
CHURCHGATE AVENUE	(0, 17, 'LOC')
CHURCHILL TERRACE	(0, 17, 'LOC')
CIAN PARK	(0, 9, 'LOC')
CILL EANNA	(0, 10, 'LOC')
NORTH CIRCULAR ROAD	(0, 19, 'LOC')
NORTH CIRCULAR ROAD	(0, 19, 'LOC')
NORTH CIRCULAR ROAD	(0, 19, 'LOC')
SOUTH CIRCULAR ROAD	(0, 19, 'LOC')
SOUTH CIRCULAR ROAD	(0, 19, 'LOC')
CITY QUAY	(0, 9, 'LOC')
CLADDAGH GREEN	(0, 14, 'LOC')
CLADDAGH ROAD	(0, 13, 'LOC')
CLANAWLEY ROAD	(0, 14, 'LOC')
CLANAWLEY ROAD	(0, 14, 'LOC')
CLANBOY ROAD	(0, 12, 'LOC')
CLANBRASSIL CLOSE	(0, 17, 'LOC')
CLANBRASSIL STREET LOWER	(0, 24, 'LOC')
CLANBRASSIL STREET UPPER	(0, 24, 'LOC')
CLANBRASSIL STREET UPPER	(0, 24, 'LOC')
CLANBRASSIL TERRACE	(0, 19, 'LOC')
CLANCARTHY ROAD	(0, 15, 'LOC')
CLANCY AVENUE	(0, 13, 'LOC')
CLANCY ROAD	(0, 11, 'LOC')
CLANDONAGH ROAD	(0, 15, 'LOC')
CLANHUGH ROAD	(0, 13, 'LOC')
CLANHUGH ROAD	(0, 13, 'LOC')
CLANMAHON ROAD	(0, 14, 'LOC')
CLANMAURICE ROAD	(0, 16, 'LOC')
CLANMOYLE ROAD	(0, 14, 'LOC')
CLANRANALD ROAD	(0, 15, 'LOC')
CLANREE ROAD	(0, 12, 'LOC')
CLANWILLIAM PLACE	(0, 17, 'LOC')
CLANWILLIAM SQUARE	(0, 18, 'LOC')
CLARE LANE	(0, 10, 'LOC')
CLARE PARK VILLAS	(0, 17, 'LOC')
CLARE ROAD	(0, 10, 'LOC')
CLARE ROAD	(0, 10, 'LOC')
CLARE STREET	(0, 12, 'LOC')
CLAREMONT AVENUE	(0, 16, 'LOC')
CLAREMONT CLOSE	(0, 15, 'LOC')
CLAREMONT COURT	(0, 15, 'LOC')
CLAREMONT CRESCENT	(0, 18, 'LOC')
CLAREMONT DRIVE	(0, 15, 'LOC')
CLAREMONT LAWN	(0, 14, 'LOC')
CLAREMONT PARK	(0, 14, 'LOC')
CLAREMONT ROAD	(0, 14, 'LOC')
CLARENCE MANGAN ROAD	(0, 20, 'LOC')
CLARENCE MANGAN SQUARE	(0, 22, 'LOC')
CLARENCE PLACE GREAT	(0, 20, 'LOC')
CLARENCE STREET GREAT NORTH	(0, 27, 'LOC')
CLARENDON MARKET	(0, 16, 'LOC')
CLARENDON ROW	(0, 13, 'LOC')
CLARENDON ROW	(0, 13, 'LOC')
CLARENDON STREET	(0, 16, 'LOC')
CLARENDON STREET	(0, 16, 'LOC')
CLAREVILLE COURT	(0, 16, 'LOC')
CLAREVILLE GROVE	(0, 16, 'LOC')
CLAREVILLE ROAD	(0, 15, 'LOC')
CLAREVILLE ROAD	(0, 15, 'LOC')
CLARKES TERRACE	(0, 15, 'LOC')
CLAUDE ROAD	(0, 11, 'LOC')
CLEGGAN AVENUE	(0, 14, 'LOC')
CLEGGAN PARK	(0, 12, 'LOC')
CLEGGAN ROAD	(0, 12, 'LOC')
CLIFDEN DRIVE	(0, 13, 'LOC')
CLIFTON MEWS	(0, 12, 'LOC')
CLIFDEN ROAD	(0, 12, 'LOC')
CLIFTONVILLE ROAD	(0, 17, 'LOC')
CLINCHS COURT	(0, 13, 'LOC')
CLOGHER ROAD	(0, 12, 'LOC')
CLOGHER ROAD	(0, 12, 'LOC')
CLOGHER ROAD	(0, 12, 'LOC')
CLONARD ROAD	(0, 12, 'LOC')
CLONARD ROAD	(0, 12, 'LOC')
CLONFERT ROAD	(0, 13, 'LOC')
CLONLARA ROAD	(0, 13, 'LOC')
CLONLIFFE AVENUE	(0, 16, 'LOC')
CLONLIFFE GARDENS	(0, 17, 'LOC')
CLONLIFFE ROAD	(0, 14, 'LOC')
CLONMACNOISE GROVE	(0, 18, 'LOC')
CLONMACNOISE ROAD	(0, 17, 'LOC')
CLONMACNOISE ROAD	(0, 17, 'LOC')
CLONMACNOISE ROAD	(0, 17, 'LOC')
CLONMACNOISE ROAD	(0, 17, 'LOC')
CLONMEL ROAD	(0, 12, 'LOC')
CLONMEL STREET	(0, 14, 'LOC')
CLONMELLON GROVE	(0, 16, 'LOC')
CLONMORE ROAD	(0, 13, 'LOC')
CLONMORE TERRACE	(0, 16, 'LOC')
CLONROSSE COURT	(0, 15, 'LOC')
CLONROSSE DRIVE	(0, 15, 'LOC')
CLONROSSE PARK	(0, 14, 'LOC')
CLONSHAUGH AVENUE	(0, 17, 'LOC')
CLONSHAUGH CLOSE	(0, 16, 'LOC')
CLONSHAUGH CRESCENT	(0, 19, 'LOC')
CLONSHAUGH DRIVE	(0, 16, 'LOC')
CLONSHAUGH GREEN	(0, 16, 'LOC')
CLONSHAUGH GROVE	(0, 16, 'LOC')
CLONSHAUGH HEIGHTS	(0, 18, 'LOC')
CLONSHAUGH HEIGHTS	(0, 18, 'LOC')
CLONSHAUGH LAWN	(0, 15, 'LOC')
CLONSHAUGH MEADOW	(0, 17, 'LOC')
CLONSHAUGH PARK	(0, 15, 'LOC')
CLONSHAUGH PARK	(0, 15, 'LOC')
CLONSHAUGH RISE	(0, 15, 'LOC')
CLONSHAUGH ROAD	(0, 15, 'LOC')
CLONSHAUGH WALK	(0, 15, 'LOC')
CLONSKEAGH ROAD	(0, 15, 'LOC')
CLONSKEAGH ROAD	(0, 15, 'LOC')
CLONTARF PARK	(0, 13, 'LOC')
CLONTARF PARK	(0, 13, 'LOC')
CLONTARF ROAD	(0, 13, 'LOC')
CLONTARF ROAD	(0, 13, 'LOC')
CLONTURK AVENUE	(0, 15, 'LOC')
CLONTURK GARDENS	(0, 16, 'LOC')
CLONTURK PARK	(0, 13, 'LOC')
CLOONLARA CRESCENT	(0, 18, 'LOC')
CLOONLARA DRIVE	(0, 15, 'LOC')
CLOONLARA ROAD	(0, 14, 'LOC')
CLOVERHILL DRIVE	(0, 16, 'LOC')
CLOVERHILL ROAD	(0, 15, 'LOC')
CLOVERHILL ROAD	(0, 15, 'LOC')
CLOYNE ROAD	(0, 11, 'LOC')
CLUNE ROAD	(0, 10, 'LOC')
CLUNE ROAD	(0, 10, 'LOC')
CLYDE LANE	(0, 10, 'LOC')
CLYDE ROAD	(0, 10, 'LOC')
COBURG PLACE	(0, 12, 'LOC')
COKE LANE	(0, 9, 'LOC')
COLBERT'S FORT	(0, 14, 'LOC')
COLDCUT ROAD	(0, 12, 'LOC')
COLEPARK AVENUE	(0, 15, 'LOC')
COLEPARK DRIVE	(0, 14, 'LOC')
COLEPARK GREEN	(0, 14, 'LOC')
COLEPARK ROAD	(0, 13, 'LOC')
COLERAINE STREET	(0, 16, 'LOC')
COLES LANE	(0, 10, 'LOC')
COLLEGE GREEN	(0, 13, 'LOC')
COLLEGE MANOR	(0, 13, 'LOC')
COLLEGE STREET	(0, 14, 'LOC')
COLLIERS AVENUE	(0, 15, 'LOC')
COLLINS AVENUE	(0, 14, 'LOC')
COLLINS AVENUE EAST	(0, 19, 'LOC')
COLLINS AVENUE EXTENSION	(0, 24, 'LOC')
COLLINS AVENUE WEST	(0, 19, 'LOC')
COLLINS DRIVE	(0, 13, 'LOC')
COLLINS GREEN	(0, 13, 'LOC')
COLLINS PARK	(0, 12, 'LOC')
COLLINS PLACE	(0, 13, 'LOC')
COLLINS ROW	(0, 11, 'LOC')
COMERAGH ROAD	(0, 13, 'LOC')
COMMONS STREET	(0, 14, 'LOC')
COMYN PLACE	(0, 11, 'LOC')
CON COLBERT ROAD	(0, 16, 'LOC')
CON COLBERT ROAD	(0, 16, 'LOC')
CONNAUGHT PARADE	(0, 16, 'LOC')
CONNAUGHT STREET	(0, 16, 'LOC')
CONNOLLY AVENUE	(0, 15, 'LOC')
CONNOLLY GARDENS	(0, 16, 'LOC')
CONOR CLUNE ROAD	(0, 16, 'LOC')
CONQUER HILL AVENUE	(0, 19, 'LOC')
CONQUER HILL ROAD	(0, 17, 'LOC')
CONQUER HILL ROAD	(0, 17, 'LOC')
CONSTITUTION HILL	(0, 17, 'LOC')
CONVENT AVENUE	(0, 14, 'LOC')
CONVENT CLOSE	(0, 13, 'LOC')
CONVENT PLACE	(0, 13, 'LOC')
CONYNGHAM ROAD	(0, 14, 'LOC')
CONYNGHAM ROAD	(0, 14, 'LOC')
COOK STREET	(0, 11, 'LOC')
COOK STREET	(0, 11, 'LOC')
COOLATREE CLOSE	(0, 15, 'LOC')
COOLATREE PARK	(0, 14, 'LOC')
COOLATREE ROAD	(0, 14, 'LOC')
COOLEEN AVENUE	(0, 14, 'LOC')
COOLEVIN ROAD	(0, 13, 'LOC')
COOLEY ROAD	(0, 11, 'LOC')
COOLEY ROAD	(0, 11, 'LOC')
COOLGARIFF ROAD	(0, 15, 'LOC')
COOLGARIFF ROAD	(0, 15, 'LOC')
COOLGREENA CLOSE	(0, 16, 'LOC')
COOLGREENA ROAD	(0, 15, 'LOC')
COOLOCK DRIVE	(0, 13, 'LOC')
COOLOCK DRIVE	(0, 13, 'LOC')
COOLOCK DRIVE	(0, 13, 'LOC')
COOLOCK LANE	(0, 12, 'LOC')
COOLOCK LANE OLD	(0, 16, 'LOC')
COOLRUA DRIVE	(0, 13, 'LOC')
COOMBE COURT	(0, 12, 'LOC')
COPE STREET	(0, 11, 'LOC')
COPE STREET	(0, 11, 'LOC')
COPELAND AVENUE	(0, 15, 'LOC')
COPELAND GROVE	(0, 14, 'LOC')
COPPER ALLEY	(0, 12, 'LOC')
COPPINGER ROW	(0, 13, 'LOC')
CORK HILL	(0, 9, 'LOC')
CORK HILL	(0, 9, 'LOC')
CORK STREET	(0, 11, 'LOC')
CORMAC TERRACE	(0, 14, 'LOC')
CORN EXCHANGE PLACE	(0, 19, 'LOC')
CORNMARKET	(0, 10, 'LOC')
CORNMARKET	(0, 10, 'LOC')
JAMES JOYCE STREET	(0, 18, 'LOC')
CORRIB ROAD	(0, 11, 'LOC')
COSTELLO'S COTTAGES	(0, 19, 'LOC')
COULSON AVENUE	(0, 14, 'LOC')
COULTRY AVENUE	(0, 14, 'LOC')
COULTRY CRESCENT	(0, 16, 'LOC')
COULTRY DRIVE	(0, 13, 'LOC')
COULTRY GARDENS	(0, 15, 'LOC')
COULTRY GROVE	(0, 13, 'LOC')
COULTRY LAWN	(0, 12, 'LOC')
COULTRY PARK	(0, 12, 'LOC')
COULTRY ROAD	(0, 12, 'LOC')
COULTRY WAY	(0, 11, 'LOC')
OLD COUNTY ROAD	(0, 15, 'LOC')
COWPER DOWNS	(0, 12, 'LOC')
COWPER DRIVE	(0, 12, 'LOC')
COWPER GARDENS	(0, 14, 'LOC')
COWPER MEWS	(0, 11, 'LOC')
COWPER ROAD	(0, 11, 'LOC')
COWPER ROAD	(0, 11, 'LOC')
COWPER ROAD	(0, 11, 'LOC')
COWPER STREET	(0, 13, 'LOC')
COWPER STREET	(0, 13, 'LOC')
COWPER VILLAGE	(0, 14, 'LOC')
CRAIGFORD AVENUE	(0, 16, 'LOC')
CRAIGFORD DRIVE	(0, 15, 'LOC')
CRAMPTON COURT	(0, 14, 'LOC')
CRAMPTON COURT	(0, 14, 'LOC')
CRAMPTON QUAY	(0, 13, 'LOC')
CRANE LANE	(0, 10, 'LOC')
CRANE STREET	(0, 12, 'LOC')
CRANFIELD PLACE	(0, 15, 'LOC')
CRANMER LANE	(0, 12, 'LOC')
CRANOGUE ROAD	(0, 13, 'LOC')
CRANOGUE CLOSE	(0, 14, 'LOC')
CRAWFORD AVENUE	(0, 15, 'LOC')
CRAWFORD TERRACE	(0, 16, 'LOC')
CREIGHTON STREET	(0, 16, 'LOC')
CREMONA ROAD	(0, 12, 'LOC')
CREMORE AVENUE	(0, 14, 'LOC')
CREMORE CRESCENT	(0, 16, 'LOC')
CREMORE DRIVE	(0, 13, 'LOC')
CREMORE DRIVE	(0, 13, 'LOC')
CREMORE HEIGHTS	(0, 15, 'LOC')
CREMORE LAWN	(0, 12, 'LOC')
CREMORE PARK	(0, 12, 'LOC')
CREMORE ROAD	(0, 12, 'LOC')
CREMORE VILLAS	(0, 14, 'LOC')
CREMORNE	(0, 8, 'LOC')
CRESCENT GARDENS	(0, 16, 'LOC')
CRESCENT PLACE	(0, 14, 'LOC')
CRESCENT VILLAS	(0, 15, 'LOC')
THE CRESCENT	(0, 12, 'LOC')
CRESTFIELD AVENUE	(0, 17, 'LOC')
CRESTFIELD CLOSE	(0, 16, 'LOC')
CRESTFIELD DRIVE	(0, 16, 'LOC')
CRESTFIELD PARK	(0, 15, 'LOC')
CRESTFIELD ROAD	(0, 15, 'LOC')
CROAGHPATRICK ROAD	(0, 18, 'LOC')
CROFTWOOD CRESCENT	(0, 18, 'LOC')
CROFTWOOD DRIVE	(0, 15, 'LOC')
CROFTWOOD GARDENS	(0, 17, 'LOC')
CROFTWOOD GREEN	(0, 15, 'LOC')
CROFTWOOD GROVE	(0, 15, 'LOC')
CROFTWOOD PARK	(0, 14, 'LOC')
CROKE PARK	(0, 10, 'LOC')
CROMCASTLE AVENUE	(0, 17, 'LOC')
CROMCASTLE CLOSE	(0, 16, 'LOC')
CROMCASTLE DRIVE	(0, 16, 'LOC')
CROMCASTLE GREEN	(0, 16, 'LOC')
CROMCASTLE PARK	(0, 15, 'LOC')
CROMCASTLE ROAD	(0, 15, 'LOC')
CROMWELLS QUARTERS	(0, 18, 'LOC')
CROMWELLS QUARTERS	(0, 18, 'LOC')
CROMWELLS FORT ROAD	(0, 19, 'LOC')
CROSS LANE SOUTH	(0, 16, 'LOC')
CROSSTICK ALLEY	(0, 15, 'LOC')
CROTTY AVENUE	(0, 13, 'LOC')
CROW STREET	(0, 11, 'LOC')
CROWN ALLEY	(0, 11, 'LOC')
CROYDON GARDENS	(0, 15, 'LOC')
CROYDON GREEN	(0, 13, 'LOC')
CROYDON PARK AVENUE	(0, 19, 'LOC')
CROYDON PARK AVENUE	(0, 19, 'LOC')
CRUMLIN ROAD	(0, 12, 'LOC')
CUALA ROAD	(0, 10, 'LOC')
CUCKOO LANE	(0, 11, 'LOC')
CUCKOO LANE	(0, 11, 'LOC')
CUFFE LANE	(0, 10, 'LOC')
CUFFE STREET	(0, 12, 'LOC')
